Brand,Model,Series,Thickness,Dimensions (WxDxH),Weight,Colors,Operating System,Operating System Type,Display Size,Display Resolution,Pixel Density,Display Type,Display Features,Display Touchscreen,Processor,Clock-speed,Chipset,Cache,Graphic Processor,Capacity,RAM Type,RAM Speed,Memory Slots,Memory Layout,SSD Capacity,SSD Type,Battery Cell,Battery Type,Power Supply,Wireless LAN,Wi-Fi Version,Bluetooth,Bluetooth Version,Other Networking Options,HDMI Ports,USB 2.0 slots,SD Card Reader,Ethernet ports,Headphone Jack,Microphone Jack,Web-cam,Video Recording,Audio Solution,Speakers,Sound Technologies,In-built Microphone,Microphone Type,Pointing device,Keyboard,Fingerprint scanner,Face Recognition,Warranty,Sales Package,Refresh Rate,Brightness,Graphics Memory,Expandable Memory,Thunderbolt Port,VGA Port,Backlit Keyboard,HDD Capacity,HDD Speed(RPM),HDD Type,USB 3.0 slots,Secondary cam(Rear-facing),Lockport,Battery Life,USB Type C,Battery Capacity,Aspect Ratio,Number of Cores,SSD Interface,Fast Charging Support,market_status,Price (Rs)
Dell,M15 R7 (ICC-C780010WIN8),Alienware,27 Millimeter thickness,356.20 x 239.5 x 27  mm,2.42 Kg weight,Dark Side Of the Moon,Windows 11 Home Basic,,15.6 Inches (39.62 cm),2560 x 1440 Pixels,188 ppi,,QHD 2560x1440   240Hz   Non-Touch   Wide Viewing Angle,,Intel Core i7-12700H (12th Gen),4.7 Ghz,,24 MB,NVIDIA GeForce RTX 3070 Ti,16 GB,DDR5,,2,2*8 Gigabyte,1 TB,M.2,6 Cell,Li-Ion,86 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1.0,,,1.0,Yes,Yes,,,Dolby Atmos,,,Yes,,,Alienware M Series per-key AlienFX RGB keyboard - US/International,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",240 Hz,,8 GB,,,,,,,,,,,,1.0,86 WHrs,,,NVMe PCIe,,Out of Stock,214990.0
Dell,M15 R7 (ICC-C780009WIN8),Alienware,27 Millimeter thickness,356.2 x 23.95 x 27  mm,2.69 Kg weight,Dark Side Of the Moon,Windows 11 Home Basic,,15.6 Inches (39.62 cm),2560 x 1440 Pixels,188 ppi,,QHD 2560x1440   240Hz   Non-Touch   Wide Viewing Angle,,Intel Core i7-12700H (12th Gen),4.7 Ghz,,24 MB,NVIDIA GeForce RTX 3080 Ti,32 GB,DDR5,4266 Mhz,2,2*16 Gigabyte,1 TB,,6 Cell,Li-Ion,240 W,802.11 b/g/n/ax,6.0,Yes,5.2,,1.0,,,1.0,Yes,Yes,Yes,720,,,,Yes,Dual-array microphones,Touchpad,Alienware M Series per-key AlienFX RGB keyboard - US/International,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",240 Hz,,16 GB,,,,,,,,,,,,1.0,,,,,,Out of Stock,269990.0
Dell,3510 ICC-D585040WIN8,Vostro,23 Millimeter thickness,358.50 x 175 x 23  mm,1.69 Kg weight,Titan Gray,Windows 11 Home Basic,,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,FHD 1920x1080   60Hz   Non-Touch   AG   WVA   LED-Backlit   Narrow Border,No,Intel Core i3-1005G1 (10th Gen),3.4 Ghz,,4 MB,Intel UHD,8 GB,DDR4,2666 Mhz,1,,256 GB,,3 Cell,Li-Ion,65 W,802.11 a/b/g/n/ac,5.0,Yes,,,1.0,1.0,Yes,,Yes,Yes,Yes,720,,,,,,,English International Non- Keyboard with numeric Keypad,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",60 Hz,,,,,,"Yes, English International Non-Backlit Keyboard with numeric Keypad",,,,,,,,1.0,,,,,,Out of Stock,39989.0
Asus,GA401IHR-HZ084TS,ROG Zephyrus G14,17.5 Millimeter thickness,435 x 335 x 17.5  mm,1.70 Kg weight,Grey,Windows 10 Home Basic,,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,FHD Display,No,AMD Ryzen 7-4800HS,2.9 Ghz,,,NVIDIA GeForce GTX1650,8 GB,DDR4,3200 Mhz,1,,512 GB,,,,76 W,,,Yes,,,,2.0,,,Yes,Yes,,,,,,Yes,,,,,,1,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,4,,,,,,,,1.0,,,4 Hrs,,,,,,,Out of Stock,74500.0
Asus,X515FA-BR301T,Vivobook,80 Millimeter thickness,350 x 300 x 80  mm,1.80 Kg weight,Slate Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,,FHD Display,No,Intel Core i3-10110U (10th Gen),4.2 Ghz,,4 MB,Intel Integrated,4 GB,DDR4,,1,,,,2 Cell,,65 W,802.11 a/b/g/n/ac,5.0,Yes,4.1,,,2.0,,,Yes,Yes,Yes,720,,,,,,,ENG/TH Chiclet Keyboard,Yes,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,,1 TB,,,1.0,,,6 Hrs,,,,,,,Out of Stock,38000.0
Acer,A315-23 (UN.HVUSI.030),Aspire 3,19.9 Millimeter thickness,363.4 x 250.5 x 19.9  mm,1.9 Kg weight,Pure Silver,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD   high-brightness Acer ComfyView LED-backlit TFT LCD,No,AMD Dual Core Ryzen 3 3250U,3.4 Ghz,,,AMD Radeon,4 GB,DDR4,,1,,512 GB,,2 Cell,Li-Ion,36 W,802.11 a/b/g/n/ac,5.0,Yes,4.2,,1.0,1.0,,1.0,Yes,Yes,Yes,720,,Two built-in stereo speakers,,Yes,Built-in Dual Microphone,Touchpad with Multi-touch Gesture Support,"100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",No,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,8 GB,,,,,,,,,,9 Hrs,2.0,,,,,,Out of Stock,31499.0
HP,840 G8 (4S1H6PA),Elitebook,18 Millimeter thickness,215 x 323 x 18  mm,1.30 Kg weight (Light-weight),Pike Silver Aluminium,Windows 10,,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,FHD   IPS   Anti-Glare Display,,Intel Core i7-1165G7 (11th Gen),4.7 Ghz,,12 MB,Intel Iris Xe,16 GB,DDR4,,1,,1 TB,,4 Cell,Li-Ion,53 W,,,Yes,5.0,,1.0,1.0,,,Yes,Yes,Yes,720,,,,Yes,,,,,,2 Years,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,,,,,,,,,2.0,,,,,,Out of Stock,151000.0
Acer,EX215-54 (NX.EGJSI.00F),Extensa,23 Millimeter thickness,363 x 199 x 23  mm,1.7 Kg weight,Black,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD 1920 x 1080   high-brightness Acer ComfyView LED-backlit TFT LCD,,Intel Core i3-1115G4 (11th Gen),4.8 Ghz,,,Intel UHD,4 GB,DDR4,,1,,,,2 Cell,Li-Ion,36.7 W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,1.0,,,Yes,Yes,Yes,720,,,,Yes,,"Multi-gesture touchpad, supporting two-finger scroll; pinch; gestures to open Cortana, Action Center, multitasking; application commands","100-/101-/104-key FineTip keyboard with independent numeric keypad, international language support, and power button",,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,8 GB,,,,1 TB,,,,,,8 Hrs,2.0,,,,,,Out of Stock,35490.0
HP,Power G8 (50D11PA),ZBook,23 Millimeter thickness,359.4 x 228 x 23  mm,1.89 Kg weight,Black,Windows 10 Professional,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Diagonal   FHD (1920 x 1080)   IPS   anti-glare   400 nits   100% sRGB,,Intel Core i7-11800H (11th Gen),4.7 Ghz,Intel WM590,24 MB,NVIDIA T1200,32 GB,DDR4,3200 Mhz,1,,1 TB,,,Li-Ion,65 W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,2.0,Yes,1.0,Yes,Yes,Yes,720,HP Audio,"Dual stereo speakers,",,Yes,Dual array digital microphones,"ClickPad Mylar with multi-touch gesture support, taps enabled as default","HP Premium Quiet Keyboard, spill-resistant, full-size, , keyboard with a Programmable Key and numeric keypad",,,3 Years,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,4 GB,,,,"Yes, HP Premium Quiet Keyboard, spill-resistant, full-size, backlit, keyboard with a Programmable Key and numeric keypad",,,,,,,,1.0,,,,,,Out of Stock,189499.0
Acer,A315-58 (NX.ADDSI.00K),Aspire 3,19 Millimeter thickness,363 x 238 x 19  mm,1.7 Kg weight,Pure Silver,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,FHD   Acer ComfyView LED-backlit TFT LCD   16:9 aspect ratio,No,Intel Core i5-1135G7 (11th Gen),4.2 Ghz,,8 MB,Intel Iris Xe,8 GB,DDR3,,1,,,,2 Cell,Li-Ion,45 W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,,,1.0,Yes,Yes,Yes,720,,Built-in Dual Speakers,,Yes,Built-in Dual Microphone,Touchpad with multi-touch gesture support,100-/101-/104-key FineTip keyboard with independent numeric keypad,No,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,16 GB,,,,1 TB,5400 RPM,,1.0,,,9 Hrs,,,,,,,Out of Stock,38190.0
Asus,ExpertBook P1545FA-BR281,,23 Millimeter thickness,360 x 237 x 23  mm,2 Kg weight,Grey,DOS,,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD LED Backlit Anti-glare Display,No,Intel Core i3-10110U (10th Gen),4.0 Ghz,Intel Integrated SoC,4 MB,Intel HD,4 GB,,,1,,,,2 Cell,,65 W,802.11 a/b/g/n/ac,5.0,Yes,4.1,,1.0,2.0,,,Yes,Yes,Yes,,Audio by ICE Power,,,Yes,Built-in Microphones,Touchpad,Chiclet Keyboard with Num-key,No,,1 Year,,,,,,,,,1 TB,,,,,,5 Hrs,1.0,,,,,,Out of Stock,34590.0
Acer,AN515-45-R2GL (NH.QBCSI.009),Nitro 5,23.9 Millimeter thickness,363.4 x 255 x 23.9  mm,2.4 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LCD,Full HD With IPS (In-Plane Switching) technology,No,AMD Ryzen 7 5800H,4.2 Ghz,,,NVIDIA GeForce RTX 3060,16 GB,DDR4,3200 Mhz,1,,256 GB,,4 Cell,Li-Ion,180 W,802.11 b/g/n/ax,6.0,Yes,5.1,,1.0,,No,1.0,Yes,Yes,Yes,720,DTS:X Ultra delivers clear audio in a 3D spatial soundscape,Built-in Speaker,,Yes,Built-in Dual Microphone,"Multi-gesture Touchpad, Supporting Two-finger Scroll; Pinch; Gestures to Open Cortana, Action Center, Multitasking; Application Commands",,No,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",144 Hz,,6 GB,32 GB,,,"Yes, Backlit Keyboard",1 TB,,,,,,10 Hrs,1.0,,,,,,Out of Stock,119990.0
HP,G8 42V70PA,250,24 Millimeter thickness,358 x 199 x 24  mm,3 Kg weight,Black,Windows 10 Professional,,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,,Anti-glare display,No,Intel Core i5-1135G7 (11th Gen),4.2 Ghz,Intel,,Intel Integrated,8 GB,DDR4,,1,,512 GB,,3 Cell,Li-Ion,41 W,,,Yes,,,1.0,2.0,,,Yes,Yes,Yes,720,,,,Yes,,,,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,,,,,,,,6 Hrs,1.0,,,,,,Out of Stock,73390.0
Lenovo,Slim 3 (82KU017HIN),Ideapad,23 Millimeter thickness,359.2 x 199 x 23  mm,1.65 Kg weight,"Arctic Grey, Abyss Blue, Sand, Galaxy Blue",Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,FHD IPS Anti Glare 250 nits Display,No,AMD Hexa Core Ryzen 5 5500U,4.2 Ghz,AMD Chipset Driver,8 MB,AMD Radeon,4 GB,,3200 Mhz,1,,512 GB,,3 Cell,Li-Po,45 W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,1.0,Yes,,Yes,Yes,Yes,720,HD Audio,,Dolby,Yes,,Clickpad,,,,2 Years,"Main Unit, Charging Cable, Charging Adapter",60 Hz,,,12 GB,,,"Yes, Backlit",,,,,,,9 Hrs,2.0,45 WHrs,,,,,Out of Stock,53990.0
Asus,Gaming FX506HCB-HN300TS,TUF,25 Millimeter thickness,359 x 245 x 25  mm,5 Kg weight,Black,Windows 10 Home Basic,,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,,No,Intel Core i7-11600H (11th Gen),4.8 Ghz,Intel,,NVIDIA GeForce RTX 3050,16 GB,DDR4,,1,,512 GB,,,,90 W,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,1 Year,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,4 GB,,,,,,,,,,,4 Hrs,,,,,,,Out of Stock,95900.0
Dell,15 7501 (C587501WIN8),Inspiron 15,17 Millimeter thickness,370 x 240 x 17  mm,1.8 Kg weight,Silver,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare LED Backlight Non-touch Wide Viewing Angle Display,No,Intel Core i5-10300H (10th Gen),2.5 Ghz,,8 MB,NVIDIA GeForce GTX 1650 Ti,8 GB,DDR4,2933 Mhz,1,1x8 Gigabyte,512 GB,,3 Cell,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD media card reader,1.0,,Yes,,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,English International Keyboard with Numeric Keypad - Silver,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,4 GB,32 GB,,,"Yes, English International Backlit Keyboard with Numeric Keypad - Silver",,,,2.0,No,,,,,,,,,Out of Stock,89900.0
Lenovo,E14 (20TAS0XF00),Thinkpad,21 Millimeter thickness,325 x 232 x 21  mm,1.7 Kg weight,Black,DOS,,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD Anti-glare Display,No,Intel Core i3-1115G4 (11th Gen),,,6 MB,Intel UHD,4 GB,DDR4,,1,1x4 Gigabyte,256 GB,,3 Cell,Li-Ion,,802.11 b/g/n,4.0,Yes,4.0,,1.0,1.0,,,Yes,Yes,Yes,720p HD,,Dual Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,2.0,No,,,1.0,,,,,,Out of Stock,46500.0
Dell,15 3515 (D560697WIN9S),Inspiron 15,,,1.83 Kg weight,Silver,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display,No,AMD Dual Core Ryzen 3 3250U,2.6 Ghz,,4 MB,AMD Radeon Vega 8,8 GB,DDR4,,1,1x8 Gigabyte,,,,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD media card reader,1.0,2.0,Yes,,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,1.0,No,,,,,,,,,Out of Stock,37990.0
Asus,FX516PRZ-AZ122TS,TUF Dash F15,20 Millimeter thickness,360 x 252 x 20  mm,2 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display,No,Intel Core i7-11370H (11th Gen),3.3 Ghz,,12 MB,NVIDIA GeForce RTX 3070,16 GB,DDR4,,1,1x16 Gigabyte,1 TB,,4 Cell,Li-Ion,76 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.0,Multi-Format SD media card reader,1.0,1.0,Yes,,Yes,Yes,No,720p HD,,Built-in Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Chiclet Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",240 Hz,,8 GB,,,,"Yes, Backlit Chiclet Keyboard",,,,1.0,No,,,,,,,,,Out of Stock,134980.0
Lenovo,3 15IML05 (81WB018EIN),Ideapad,19.9 Millimeter thickness,362.2 x 253.4 x 19.9  mm,1.7 Kg weight,Platinum Silver,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display,No,Intel Core i3-10110U (10th Gen),2.1 Ghz,,4 MB,Intel UHD,8 GB,DDR4,2666 Mhz,1,1x8 Gigabyte,256 GB,,,Li-Ion,45 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,1.0,,,Yes,Yes,Yes,720p HD,,Built-in Dual Speakers,2 x 1.5W Stereo Speakers with Dolby Audio,Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,2.0,No,,,,,,,,,Out of Stock,24837.0
Asus,FA706QM-HX008TS,TUF Gaming A17,24.7 Millimeter thickness,359 x 256 x 24.7  mm,2.60 Kg weight,Graphite Black,Windows 10 Home Basic,64-bit,17.3 Inches (43.94 cm),1920 x 1080 Pixels,127 ppi,,Full HD IPS LED Backlit Anti-glare Display,No,AMD Octa Core Ryzen 7 5800H,,,16 MB,NVIDIA GeForce RTX 3060,16 GB,DDR4,3200 Mhz,1,1x16 Gigabyte,1 TB,,4 Cell,Li-Ion,180 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.2,,1.0,,,1.0,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Chiclet RGB Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,6 GB,32 GB,,,"Yes, Backlit Chiclet RGB Keyboard",,,,1.0,No,,,1.0,90 WHrs,,,NVMe PCIe,,Out of Stock,117990.0
Dell,15 3505 (D560613WIN9SE),Inspiron 15,20 Millimeter thickness,364 x 249 x 20  mm,1.83 Kg weight,Soft Mint,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1366 x 768 Pixels,100 ppi,LED,HD AG Narrow Border Display,No,AMD Dual Core Athlon 3050U,2.3 Ghz,,4 MB,AMD Radeon,4 GB,DDR4,2400 Mhz,2,2x2 Gigabyte,256 GB,,3 Cell,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,4.1,Multi-Format SD media card reader (3-in-1),1.0,1.0,Yes,1.0,Yes,Yes,Yes,720p HD,,Built-in Dual Speakers,Waves Maxx Audio Pro,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,English International Non Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,16 GB,,,"Yes, English International Non Backlit Keyboard",,,,1.0,No,Yes,,,,,,,,Out of Stock,32849.0
Asus,FX5O6LH-HN258TS,TUF Gaming F15,24.9 Millimeter thickness,359 x 256 x 24.9  mm,2.3 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD IPS LED Backlit Anti-glare Display,No,Intel Core i5-10300H (10th Gen),2.5 Ghz,Mobile Intel HM470 Express Chipsets,8 MB,NVIDIA GeForce GTX 1650,8 GB,DDR4,2933 Mhz,2,2x4 Gigabyte,512 GB,,3 Cell,Li-Ion,150 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,,1.0,1.0,,1.0,Yes,Yes,Yes,720p HD,,Built-in Speakers,DTS Software Support,Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,RGB Chiclet English Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,4 GB,,,,"Yes, RGB Backlit Chiclet English Keyboard",,,,,No,,,1.0,,,,,,Out of Stock,58999.0
Lenovo,13s (20V9A05FIH),ThinkBook,15 Millimeter thickness (Slim),299 x 210 x 15  mm,1.26 Kg weight (Light-weight),Grey,Windows 10 Home Basic,64-bit,13.3 Inches (33.78 cm),1920 x 1080 Pixels,166 ppi,LED,Full HD Anti-glare Display,No,Intel Core i7-1165G7 (11th Gen),,,12 MB,Intel Iris Xe,16 GB,DDR4,,1,1x16 Gigabyte,512 GB,,4 Cell,Li-Ion,56 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.1,,1.0,,,,Yes,Yes,Yes,720p HD,,Built-in Speakers,Dolby Audio,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,Yes,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,1.0,No,,,,,,,,,Out of Stock,95000.0
HP,15-eg1001TU (50N51PA),,17.9 Millimeter thickness,360.2 x 234 x 17.9  mm,1.74 Kg weight,Natural Silver,Windows 11 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Diagonal   Full HD IPS   micro-edge   BrightView   250 nits   45% NTSC Display,No,Intel Core i5-1155G7 (11th Gen),,Intel Integrated SoC,,Intel Iris X,8 GB,DDR4,3200 Mhz,2,2x4 Gigabyte,512 GB,,3 Cell,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.2,Multi-Format SD media card reader,,,Yes,,Yes,Yes,Yes,720p HD,HP Audio Boost,Dual Speakers,Audio by Bang & Olufsen,Yes,Integrated Dual Array Digital Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,2.0,No,,,1.0,,,,,,Out of Stock,61900.0
Asus,GA401QC-HZ063TS,ROG Zephyrus G14,17.9 Millimeter thickness,324 x 222 x 17.9  mm,1.60 Kg weight,Grey,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,,Full HD IPS LED Backlit Anti-glare Display,No,AMD Octa Core Ryzen 9 5900HS,3.0 Ghz,,16 MB,NVIDIA GeForce RTX 3050,16 GB,DDR4,3200 Mhz,1,1x16 Gigabyte,1 TB,,4 Cell,Li-Ion,150 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.2,,1.0,,,,Yes,Yes,,,,Built-in Speakers,"Dolby Atmos, Smart Amp Technology, 2x 0.7W tweeter 2x 2.5W speaker with Smart Amp Technology",Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Chiclet Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,4 GB,,,,"Yes, Backlit Chiclet Keyboard",,,,1.0,,,,1.0,76 WHrs,,,NVMe PCIe,,Out of Stock,116990.0
Asus,FA566QM-HN108T,TUF Gaming A15,24.7 Millimeter thickness,359 x 256 x 24.7  mm,2.30 Kg weight,Eclipse Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,,Full HD IPS LED Backlit Anti-glare Display,No,AMD Octa Core Ryzen 7 5800H,3.0 Ghz,,16 MB,NVIDIA GeForce RTX 3060,16 GB,DDR4,3200 Mhz,1,1x16 Gigabyte,512 GB,,4 Cell,Li-Ion,150 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,5.2,,1.0,,,1.0,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Gaming Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",144 Hz,,6 GB,32 GB,,,"Yes, Gaming Backlit Keyboard",,,,1.0,No,,,1.0,90 WHrs,,,NVMe PCIe,,Out of Stock,112990.0
Asus,G513QR-HF219TS,ROG Strix G15,24.7 Millimeter thickness,359 x 256 x 24.7  mm,2.30 Kg weight,Black,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display   IPS Level Display,No,AMD Octa Core Ryzen 9 5900HX,3.3 Ghz,,16 MB,NVIDIA GeForce RTX 3070,16 GB,DDR4,3200 Mhz,2,2x8 Gigabyte,1 TB,,4 Cell,Li-Ion,240 W AC Adapter W,802.11 b/g/n/ax,6.0,Yes,6.0,,1.0,,,1.0,Yes,Yes,,,,Built-in Speakers,"Dolby Atmos, Smart Amp Technology, 2x 4W speaker with Smart Amp Technology",Yes,Built-in Array Microphone,Touchpad with Multi-Touch Gestures Enabled,Perkey RGB Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",300 Hz,,8 GB,32 GB,,,"Yes, Perkey RGB Backlit Keyboard",,,,2.0,,,,1.0,,,,,,Out of Stock,169990.0
Lenovo,15 G2 ITL (20VEA0ADIH),ThinkBook,20 Millimeter thickness,340 x 270 x 20  mm,2 Kg weight,Mineral Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,LED,Full HD Anti-glare Display,No,Intel Core i3-1115G4 (11th Gen),,,6 MB,Intel UHD,8 GB,DDR4,,1,1x8 Gigabyte,512 GB,,3 Cell,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.1,,1.0,,,,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,,,,1.0,No,,,1.0,,,,,,Out of Stock,45900.0
Asus,K513EA-L703TS,VivoBook 15,17.9 Millimeter thickness,359 x 235 x 17.9  mm,1.8 Kg weight,Platinum Grey,Windows 10 Home Basic,64-bit,15.6 Inches (39.62 cm),1920 x 1080 Pixels,141 ppi,OLED,Full HD IPS LED Backlit Anti-glare Display,No,Intel Core i7-1165G7 (11th Gen),,,12 MB,Intel Iris Xe,8 GB,DDR4,,1,1x8 Gigabyte,256 GB,,,Li-Ion,65 W AC Adapter W,802.11 a/b/g/n/ac,5.0,Yes,5.0,Multi-Format SD media card reader,1.0,2.0,Yes,,Yes,Yes,Yes,720p HD,,Built-in Speakers,,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,Standard Notebook Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,,1 TB,5400 RPM,SATA,1.0,No,,,1.0,,,,,,Out of Stock,66990.0
Avita,V14 NS14A8INF561,Liber,19 Millimeter thickness,318 x 216 x 19  mm,1.25 Kg weight (Light-weight),Matt Black,Windows 10 Home Basic,64-bit,14 Inches (35.56 cm),1920 x 1080 Pixels,157 ppi,LED,Full HD LED Backlit TFT IPS Display,No,Intel Core i5-10210U (10th Gen),1.8 Ghz,,8 MB,Intel UHD,8 GB,DDR4,2400 Mhz,1,1x8 Gigabyte,512 GB,,,Li-Ion,,802.11 a/b/g/n/ac,5.0,Yes,4.2,,1.0,,Yes,,Yes,Yes,Yes,720p HD,,Built-in Dual Speakers,2 x 1 W Speakers,Yes,Built-in Microphone,Touchpad with Multi-Touch Gestures Enabled,English Keyboard,No,,1 Year,"Laptop, Battery, AC Adapter, User Guide",,,,,,,"Yes, English Backlit Keyboard",,,,3.0,No,,,,,,,,,Out of Stock,40990.0
